Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2020-05-04,250.6,1748.5,29.89,73.29,52.15,1224.14,67350
2020-05-06,255.0,1729.2,31.07,75.16,52.13,1228.55,66900
2020-05-07,254.46,1768.6,31.08,75.93,52.33,1219.61,66380
2020-05-11,254.95,1741.9,31.96,78.75,52.4,1222.91,67000
2020-05-12,253.37,1749.2,31.14,77.85,51.1,1226.64,66930
2020-05-13,255.85,1757.8,31.11,76.91,50.92,1227.37,67040
2020-05-15,253.79,1797.9,30.99,76.93,49.8,1232.69,68700
2020-05-18,255.44,1780.1,32.6,78.74,51.87,1225.13,69840
2020-05-20,262.72,1799.6,32.82,79.81,51.84,1227.26,69200
2020-05-21,263.74,1768.0,32.8,79.21,50.75,1233.19,68790
2020-05-22,259.62,1782.4,32.44,79.72,49.8,1240.59,68920
2020-05-26,267.31,1756.3,32.91,79.18,50.82,1230.9,68720
2020-05-27,267.64,1757.3,33.63,79.53,51.74,1238.19,67710
2020-05-28,268.29,1760.8,34.0,79.56,50.28,1237.97,68480
2020-05-29,268.32,1784.3,33.79,79.49,50.33,1231.49,68500
2020-06-01,273.19,1784.6,34.57,80.46,51.03,1222.92,68600
2020-06-02,276.08,1770.8,35.0,80.83,52.01,1219.62,68420
2020-06-03,285.91,1743.7,35.95,81.28,53.06,1215.79,67400
2020-06-04,286.45,1770.5,36.48,80.58,54.28,1216.39,66610
2020-06-05,290.62,1727.5,38.05,82.88,55.2,1202.02,66350
2020-06-08,290.77,1750.0,38.64,83.36,55.57,1195.35,65580
2020-06-09,291.32,1766.4,37.96,86.0,56.61,1198.4,65280
2020-06-11,288.62,1782.5,34.58,83.97,55.04,1206.1,66580
2020-06-12,281.78,1779.3,35.08,84.7,56.0,1203.66,66980
2020-06-15,267.95,1769.8,34.14,85.75,56.02,1208.55,67250
2020-06-16,282.59,1779.6,35.01,88.02,55.8,1211.79,67010
2020-06-17,283.02,1778.8,35.03,87.9,56.6,1215.41,67440
2020-06-18,281.91,1773.1,34.72,87.93,56.15,1212.5,67060
2020-06-19,283.37,1793.3,34.6,87.43,55.31,1211.83,67340
2020-06-22,281.42,1805.7,34.74,89.72,56.0,1209.41,68490
2020-06-23,281.94,1820.6,34.62,91.63,56.76,1207.46,68040
2020-06-24,286.7,1816.1,34.51,90.01,56.58,1206.08,68110
2020-06-25,279.73,1811.9,34.31,91.21,57.04,1202.21,68490
2020-06-26,283.38,1821.9,33.53,88.41,56.33,1203.8,67960
2020-06-29,278.04,1823.5,33.97,90.44,56.39,1199.16,68320
2020-06-30,280.09,1844.0,34.13,91.2,56.77,1199.28,68570
2020-07-01,280.26,1825.5,34.51,91.03,56.82,1201.51,69050
2020-07-02,283.86,1835.8,35.18,91.03,58.62,1198.75,68190
2020-07-06,290.62,1842.2,37.92,93.46,61.88,1191.92,68300
2020-07-07,286.77,1863.7,37.75,93.17,60.71,1196.75,68590
2020-07-08,285.97,1884.3,38.99,95.34,62.59,1192.05,68980
2020-07-09,287.25,1867.6,38.85,95.68,64.78,1196.98,69600
2020-07-10,285.06,1865.6,38.83,95.92,63.85,1200.42,69600
2020-07-13,289.84,1878.9,40.02,95.48,65.07,1203.37,69750
2020-07-14,289.63,1877.0,39.68,97.06,66.96,1204.89,69840
2020-07-15,292.27,1876.9,39.3,97.72,66.06,1200.5,69760
2020-07-16,289.25,1861.6,38.25,96.52,66.59,1205.11,70020
2020-07-17,291.57,1868.5,38.52,96.33,66.4,1203.44,69720
2020-07-20,290.81,1875.1,40.21,98.36,66.89,1200.9,70040
2020-07-21,295.16,1906.4,40.69,97.0,67.81,1193.92,70110
2020-07-22,294.04,1934.1,40.41,97.27,68.53,1197.22,71450
2020-07-23,292.37,1962.7,40.85,92.85,67.37,1201.45,72130
2020-07-27,293.51,2004.9,40.97,94.81,83.25,1195.57,74360
2020-07-28,300.13,2013.2,41.3,93.25,76.92,1199.46,74590
2020-07-30,301.85,2014.2,40.39,96.19,79.93,1189.62,75180
2020-07-31,299.32,2034.4,40.06,106.26,78.89,1193.59,75570
2020-08-03,299.46,2035.4,40.93,108.94,78.95,1192.59,75730
2020-08-04,303.04,2070.4,41.89,109.67,80.19,1193.2,75730
2020-08-06,311.32,2122.7,44.21,113.9,80.52,1183.5,78050
2020-08-10,316.77,2091.7,43.29,112.73,79.87,1185.58,77480
2020-08-11,321.02,1995.0,42.61,109.38,77.94,1185.62,76180
2020-08-13,323.33,2017.2,42.04,115.01,78.3,1184.92,73580
2020-08-14,319.24,1995.3,41.89,114.91,78.41,1186.94,74050
2020-08-21,306.16,1988.1,41.32,124.37,78.34,1191.72,74130
2020-08-24,309.33,1980.8,41.91,125.86,78.9,1188.66,74020
2020-09-01,309.81,2016.8,41.36,134.18,81.55,1185.45,75540
2020-09-04,312.03,1969.1,40.99,120.96,78.91,1187.3,74010
2020-09-08,317.38,1977.8,40.11,112.82,77.32,1190.1,73660
2020-09-09,313.77,1988.9,40.45,117.32,79.4,1184.79,73630
2020-09-10,316.53,1999.6,39.21,113.49,78.9,1188.11,74040
2020-09-14,320.98,2000.6,40.44,115.36,80.5,1181.51,74020
