Date,Close,Open,High,Low,Volume,Change
2020-05-04,250.6,252.44,253.7,250.34,174040000.0,-0.0292
2020-05-06,255.0,253.76,255.01,251.26,133280000.0,0.0176
2020-05-07,254.46,253.88,256.14,253.37,114360000.0,-0.0021
2020-05-08,256.62,256.66,258.29,256.23,125220000.0,0.0085
2020-05-11,254.95,257.67,258.87,254.59,144300000.0,-0.006500000000000001
2020-05-12,253.37,255.33,255.56,250.98,166800000.0,-0.0062
2020-05-13,255.85,250.03,255.85,249.95,141250000.0,0.0098
2020-05-14,253.65,253.26,254.39,252.09,167640000.0,-0.0086
2020-05-15,253.79,255.34,255.49,252.02,228900000.0,0.0006
2020-05-18,255.44,254.55,256.31,252.95,223000000.0,0.006500000000000001
2020-05-19,261.79,261.12,262.34,259.96,253330000.0,0.024900000000000002
2020-05-20,262.72,260.48,263.25,260.48,140300000.0,0.0036
2020-05-21,263.74,264.52,264.85,263.07,159480000.0,0.0039000000000000003
2020-05-22,259.62,263.82,264.07,258.34,166030000.0,-0.015600000000000001
2020-05-25,262.76,260.95,262.82,259.16,125430000.0,0.0121
2020-05-26,267.31,263.48,267.31,262.95,175420000.0,0.0173
2020-05-27,267.64,266.71,269.17,265.86,247180000.0,0.0012
2020-05-28,268.29,270.17,271.44,264.85,248930000.0,0.0024
2020-05-29,268.32,266.62,269.61,265.23,269470000.0,0.0001
2020-06-01,273.19,269.29,273.39,268.93,171510000.0,0.0181
2020-06-02,276.08,272.65,276.47,272.22,251030000.0,0.0106
2020-06-03,285.91,279.14,287.49,278.98,476500000.0,0.0356
2020-06-04,286.45,291.17,292.9,284.93,364580000.0,0.0019
2020-06-05,290.62,286.3,291.5,284.5,282060000.0,0.0146
2020-06-08,290.77,295.41,295.68,289.71,286660000.0,0.0005
2020-06-09,291.32,293.96,294.87,287.83,268570000.0,0.0019
2020-06-10,291.9,291.03,292.92,289.6,229070000.0,0.002
2020-06-11,288.62,289.98,292.08,284.29,275900000.0,-0.011200000000000002
2020-06-12,281.78,276.97,282.54,276.05,232830000.0,-0.023700000000000002
2020-06-15,267.95,278.61,280.87,267.95,262440000.0,-0.049100000000000005
2020-06-16,282.59,275.89,282.59,274.0,247890000.0,0.0546
2020-06-17,283.02,282.08,284.9,278.33,337220000.0,0.0015
2020-06-18,281.91,281.74,283.39,280.02,181590000.0,-0.0039000000000000003
2020-06-19,283.37,284.56,284.7,278.53,189130000.0,0.0052
2020-06-22,281.42,281.01,283.71,280.34,139840000.0,-0.0069
2020-06-23,281.94,284.64,286.04,279.26,163680000.0,0.0018
2020-06-24,286.7,283.71,288.3,283.3,200570000.0,0.0169
2020-06-25,279.73,282.38,284.36,279.73,152980000.0,-0.024300000000000002
2020-06-26,283.38,283.36,284.58,280.65,169010000.0,0.013000000000000001
2020-06-29,278.04,279.36,281.77,277.06,137760000.0,-0.018799999999999997
2020-06-30,280.09,282.55,283.98,280.09,179500000.0,0.0074
2020-07-01,280.26,283.1,283.84,279.44,133800000.00000001,0.0006
2020-07-02,283.86,281.3,283.89,280.71,111370000.0,0.0128
2020-07-03,285.89,285.59,286.09,283.36,100220000.0,0.0072
2020-07-06,290.62,286.84,291.14,286.31,128120000.0,0.0165
2020-07-07,286.77,292.74,292.98,286.76,156130000.0,-0.0132
2020-07-08,285.97,287.2,288.41,285.18,119450000.0,-0.0028000000000000004
2020-07-09,287.25,287.8,289.41,287.08,140610000.0,0.0045000000000000005
2020-07-10,285.06,287.87,288.09,283.51,136770000.0,-0.0076
2020-07-13,289.84,287.92,290.49,286.86,127050000.0,0.0168
2020-07-14,289.63,288.42,289.63,286.89,126300000.0,-0.0007000000000000001
2020-07-15,292.27,292.94,294.42,290.89,168350000.0,0.0091
2020-07-16,289.25,292.34,292.74,288.46,129449999.99999999,-0.0103
2020-07-17,291.57,289.9,292.1,289.9,118640000.0,0.008
2020-07-20,290.81,292.76,292.76,289.01,161820000.0,-0.0026
2020-07-21,295.16,294.03,296.11,293.2,366990000.0,0.015
2020-07-22,294.04,294.71,296.14,293.39,327320000.0,-0.0038
2020-07-23,292.37,293.62,293.62,290.49,250980000.0,-0.005699999999999999
