일자,종가
2022-03-31,75060
2022-03-30,74810
2022-03-29,75440
2022-03-28,76380
2022-03-25,76670
2022-03-24,76030
2022-03-23,74860
2022-03-22,75790
2022-03-21,75270
2022-03-18,75090
2022-03-17,75500
2022-03-16,76070
2022-03-15,77190
2022-03-14,78910
2022-03-11,78720
2022-03-10,78380
2022-03-08,79930
2022-03-07,78290
2022-03-04,75600
2022-03-03,74700
2022-03-02,75130
2022-02-28,73790
2022-02-25,74050
2022-02-24,74960
2022-02-23,72800
2022-02-22,73200
2022-02-21,72440
2022-02-18,72750
2022-02-17,72170
2022-02-16,71420
2022-02-15,72450
2022-02-14,70950
2022-02-11,70240
2022-02-10,70580
2022-02-09,70300
2022-02-08,70120
2022-02-07,69860
2022-02-04,69540
2022-02-03,70030
2022-01-28,69680
2022-01-27,70060
2022-01-26,71110
2022-01-25,70970
2022-01-24,70710
2022-01-21,70650
2022-01-20,70540
2022-01-19,69470
2022-01-18,69510
2022-01-17,69760
2022-01-14,69760
2022-01-13,69670
2022-01-12,69680
2022-01-11,69420
2022-01-10,69120
2022-01-07,69160
2022-01-06,69620
2022-01-05,69840
2022-01-04,69280
2022-01-03,69930
2021-12-30,68740
2021-12-29,68910
2021-12-28,69330
2021-12-27,69050
2021-12-24,69010
2021-12-23,68960
2021-12-22,68530
2021-12-21,68660
2021-12-20,68990
2021-12-17,68570
2021-12-16,67910
2021-12-15,67430
2021-12-14,67960
2021-12-13,67790
2021-12-10,67330
2021-12-09,67420
2021-12-08,67630
2021-12-07,67540
2021-12-06,67900
2021-12-03,67260
2021-12-02,67220
2021-12-01,67800
2021-11-30,68460
2021-11-29,68850
2021-11-26,69140
2021-11-25,68610
2021-11-24,68430
2021-11-23,69030
2021-11-22,70240
2021-11-19,70920
2021-11-18,70730
2021-11-17,70520
2021-11-16,70780
2021-11-15,70380
2021-11-12,70460
2021-11-11,70330
2021-11-10,69280
2021-11-09,69020
2021-11-08,69130
2021-11-05,68460
2021-11-04,67400
2021-11-03,67620
2021-11-02,67760
2021-11-01,67450
2021-10-29,67450
2021-10-28,67750
2021-10-27,67290
2021-10-26,67760
2021-10-25,67500
2021-10-22,67850
2021-10-21,67570
2021-10-20,67050
2021-10-19,67380
2021-10-18,67420
2021-10-15,68100
2021-10-14,68450
2021-10-13,67640
2021-10-12,67870
2021-10-08,67560
2021-10-07,67490
2021-10-06,67230
2021-10-05,67220
2021-10-01,67050
2021-09-30,65820
2021-09-29,66080
2021-09-28,66380
2021-09-27,66540
2021-09-24,66400
2021-09-23,66670
2021-09-17,66670
2021-09-16,67330
2021-09-15,67840
2021-09-14,67500
2021-09-13,67710
2021-09-10,67740
2021-09-09,67250
2021-09-08,67360
