Date,Gold
2020-05-01,1728.6
2020-05-04,1748.5
2020-05-05,1751.3
2020-05-06,1729.2
2020-05-07,1768.6
2020-05-11,1741.9
2020-05-12,1749.2
2020-05-13,1757.8
2020-05-15,1797.9
2020-05-18,1780.1
2020-05-20,1799.6
2020-05-21,1768.0
2020-05-22,1782.4
2020-05-26,1756.3
2020-05-27,1757.3
2020-05-28,1760.8
2020-05-29,1784.3
2020-06-01,1784.6
2020-06-02,1770.8
2020-06-03,1743.7
2020-06-04,1770.5
2020-06-05,1727.5
2020-06-08,1750.0
2020-06-09,1766.4
2020-06-11,1782.5
2020-06-12,1779.3
2020-06-15,1769.8
2020-06-16,1779.6
2020-06-17,1778.8
2020-06-18,1773.1
2020-06-19,1793.3
2020-06-22,1805.7
2020-06-23,1820.6
2020-06-24,1816.1
2020-06-25,1811.9
2020-06-26,1821.9
2020-06-29,1823.5
2020-06-30,1844.0
2020-07-01,1825.5
2020-07-02,1835.8
2020-07-06,1842.2
2020-07-07,1863.7
2020-07-08,1884.3
2020-07-09,1867.6
2020-07-10,1865.6
2020-07-13,1878.9
2020-07-14,1877.0
2020-07-15,1876.9
2020-07-16,1861.6
2020-07-17,1868.5
2020-07-20,1875.1
2020-07-21,1906.4
2020-07-22,1934.1
2020-07-23,1962.7
2020-07-27,2004.9
2020-07-28,2013.2
2020-07-30,2014.2
2020-07-31,2034.4
2020-08-03,2035.4
2020-08-04,2070.4
2020-08-06,2122.7
2020-08-10,2091.7
2020-08-11,1995.0
2020-08-13,2017.2
2020-08-14,1995.3
2020-08-17,2040.1
2020-08-21,1988.1
2020-08-24,1980.8
2020-09-01,2016.8
2020-09-04,1969.1
2020-09-08,1977.8
2020-09-09,1988.9
2020-09-10,1999.6
2020-09-14,2000.6
2020-09-15,2003.1
2020-09-16,2007.4
2020-09-17,1985.7
2020-09-18,1998.0
2020-09-22,1943.6
2020-09-23,1902.8
2020-09-24,1910.6
2020-09-25,1900.4
2020-09-28,1916.7
2020-09-29,1937.7
2020-10-01,1950.7
2020-10-02,1941.9
2020-10-06,1943.8
2020-10-07,1927.0
2020-10-09,1963.5
2020-10-12,1966.2
2020-10-13,1932.0
2020-10-14,1945.5
2020-10-16,1943.9
2020-10-19,1948.7
2020-10-20,1952.0
2020-10-21,1966.0
2020-10-22,1941.6
2020-10-23,1942.6
2020-10-26,1944.5
2020-10-27,1950.5
2020-10-29,1905.4
2020-11-03,1947.1
2020-11-09,1892.5
2020-11-11,1898.7
2020-11-13,1924.4
2020-11-17,1919.4
2020-11-18,1905.6
2020-11-19,1893.8
2020-11-24,1837.5
2020-11-25,1836.0
2020-11-27,1813.3
2020-12-03,1863.6
2020-12-08,1898.3
2020-12-09,1860.2
2020-12-10,1859.4
2020-12-11,1865.6
2020-12-15,1877.8
2020-12-17,1911.6
2020-12-18,1910.3
2020-12-24,1905.4
2020-12-29,1906.1
2021-01-05,1980.5
2021-01-06,1934.8
2021-01-12,1868.0
2021-01-13,1878.3
2021-01-14,1874.8
2021-01-15,1852.0
2021-01-19,1860.5
2021-01-20,1886.0
2021-01-21,1885.0
2021-01-22,1873.1
2021-01-26,1868.5
2021-01-27,1862.5
2021-01-29,1862.5
