,Date,REMX
0,20/05/01,29.93
1,20/05/02,29.93
2,20/05/03,29.93
3,20/05/04,29.89
4,20/05/05,31.01
5,20/05/06,31.07
6,20/05/07,31.08
7,20/05/08,31.36
8,20/05/11,31.96
9,20/05/12,31.14
10,20/05/13,31.11
11,20/05/14,30.87
12,20/05/15,30.99
13,20/05/18,32.6
14,20/05/19,32.0
15,20/05/20,32.82
16,20/05/21,32.8
17,20/05/22,32.44
18,20/05/26,32.91
19,20/05/27,33.63
20,20/05/28,34.0
21,20/05/29,33.79
22,20/06/01,34.57
23,20/06/02,35.0
24,20/06/03,35.95
25,20/06/04,36.48
26,20/06/05,38.05
27,20/06/07,38.05
28,20/06/08,38.64
29,20/06/09,37.96
30,20/06/10,37.29
31,20/06/11,34.58
32,20/06/12,35.08
33,20/06/15,34.14
34,20/06/16,35.01
35,20/06/17,35.03
36,20/06/18,34.72
37,20/06/19,34.6
38,20/06/22,34.74
39,20/06/23,34.62
40,20/06/24,34.51
41,20/06/25,34.31
42,20/06/26,33.53
43,20/06/29,33.97
44,20/06/30,34.13
45,20/07/01,34.51
46,20/07/02,35.18
47,20/07/04,35.18
48,20/07/05,35.18
49,20/07/06,37.92
50,20/07/07,37.75
51,20/07/08,38.99
52,20/07/09,38.85
53,20/07/10,38.83
54,20/07/11,38.83
55,20/07/12,38.83
56,20/07/13,40.02
57,20/07/14,39.68
58,20/07/15,39.3
59,20/07/16,38.25
60,20/07/17,38.52
61,20/07/20,40.21
62,20/07/21,40.69
63,20/07/22,40.41
64,20/07/23,40.85
65,20/07/24,40.01
66,20/07/25,40.01
67,20/07/26,40.01
68,20/07/27,40.97
69,20/07/28,41.3
70,20/07/29,41.24
71,20/07/30,40.39
72,20/07/31,40.06
73,20/08/02,40.06
74,20/08/03,40.93
75,20/08/04,41.89
76,20/08/05,43.57
77,20/08/06,44.21
78,20/08/07,43.55
79,20/08/08,43.55
80,20/08/09,43.55
81,20/08/10,43.29
82,20/08/11,42.61
83,20/08/12,42.37
84,20/08/13,42.04
85,20/08/14,41.89
86,20/08/17,42.72
87,20/08/18,42.46
88,20/08/19,41.57
89,20/08/20,41.8
90,20/08/21,41.32
91,20/08/23,41.32
92,20/08/24,41.91
93,20/08/25,41.33
94,20/08/26,40.91
95,20/08/27,41.2
96,20/08/28,41.6
97,20/08/30,41.6
98,20/08/31,41.03
99,20/09/01,41.36
100,20/09/02,41.58
101,20/09/03,40.58
102,20/09/04,40.99
103,20/09/08,40.11
104,20/09/09,40.45
105,20/09/10,39.21
106,20/09/11,39.59
107,20/09/13,39.59
108,20/09/14,40.44
109,20/09/15,40.56
110,20/09/16,40.63
111,20/09/17,41.09
112,20/09/18,41.78
113,20/09/21,40.48
114,20/09/22,39.87
115,20/09/23,38.1
116,20/09/24,37.36
117,20/09/25,37.22
118,20/09/26,37.22
119,20/09/27,37.22
120,20/09/28,37.46
121,20/09/29,37.65
122,20/09/30,37.71
123,20/10/01,38.15
124,20/10/02,37.5
125,20/10/03,37.5
126,20/10/04,37.5
127,20/10/05,39.45
128,20/10/06,39.36
129,20/10/07,40.05
130,20/10/08,40.66
131,20/10/09,41.82
132,20/10/12,41.64
133,20/10/13,41.08
134,20/10/14,41.17
135,20/10/15,40.92
136,20/10/16,40.71
137,20/10/19,41.11
138,20/10/20,41.45
139,20/10/21,41.5
140,20/10/22,41.29
141,20/10/23,41.23
142,20/10/26,40.63
143,20/10/27,41.03
144,20/10/28,39.84
145,20/10/29,40.57
146,20/10/30,40.29
147,20/11/02,40.86
148,20/11/03,42.77
149,20/11/04,43.82
150,20/11/05,45.08
151,20/11/06,45.73
152,20/11/09,46.83
153,20/11/10,46.54
154,20/11/11,46.62
155,20/11/12,46.7
156,20/11/13,48.28
157,20/11/16,50.71
158,20/11/17,50.95
159,20/11/18,50.68
160,20/11/19,51.0
161,20/11/20,52.07
162,20/11/23,54.48
163,20/11/24,55.75
164,20/11/25,54.85
165,20/11/27,56.1
166,20/11/30,55.12
167,20/12/01,55.64
168,20/12/02,55.45
169,20/12/03,55.67
170,20/12/04,57.09
171,20/12/07,57.82
172,20/12/08,59.27
173,20/12/09,57.48
174,20/12/10,57.2
175,20/12/11,56.55
176,20/12/14,56.75
177,20/12/15,57.79
178,20/12/16,57.62
179,20/12/17,59.01
180,20/12/18,60.49
181,20/12/21,62.02
182,20/12/22,61.37
183,20/12/23,62.56
184,20/12/24,62.84
185,20/12/28,65.38
186,20/12/29,62.18
187,20/12/30,64.66
188,20/12/31,65.82
189,21/01/04,68.64
190,21/01/05,73.69
191,21/01/06,72.71
192,21/01/07,77.68
193,21/01/08,75.42
194,21/01/11,73.63
195,21/01/12,74.43
196,21/01/13,74.86
197,21/01/14,74.73
198,21/01/15,72.38
199,21/01/19,75.19
200,21/01/20,78.18
201,21/01/21,82.65
202,21/01/22,81.22
203,21/01/25,82.8
204,21/01/26,82.65
205,21/01/27,78.87
206,21/01/28,77.49
207,21/01/29,74.19
208,21/02/01,76.6
209,21/02/02,79.66
210,21/02/03,81.39
211,21/02/04,79.35
212,21/02/05,76.4
213,21/02/08,81.52
214,21/02/09,83.31
215,21/02/10,83.98
216,21/02/11,83.83
217,21/02/12,84.87
218,21/02/16,90.89
219,21/02/17,92.3
220,21/02/18,88.7
221,21/02/19,90.84
222,21/02/22,93.33
223,21/02/23,89.54
224,21/02/24,90.79
225,21/02/25,82.5
226,21/02/26,83.28
227,21/03/01,87.87
228,21/03/02,85.15
229,21/03/03,85.38
230,21/03/04,79.36
231,21/03/05,77.04
232,21/03/08,74.93
233,21/03/09,77.49
234,21/03/10,75.02
235,21/03/11,81.02
236,21/03/12,80.39
237,21/03/15,80.45
238,21/03/16,77.75
239,21/03/17,79.45
240,21/03/18,77.23
241,21/03/19,77.15
242,21/03/22,76.81
243,21/03/23,70.43
244,21/03/24,68.12
245,21/03/25,69.61
246,21/03/26,73.18
247,21/03/29,72.19
248,21/03/30,74.31
249,21/03/31,74.99
250,21/04/01,76.31
251,21/04/05,76.64
252,21/04/06,76.93
253,21/04/07,77.46
254,21/04/08,77.57
255,21/04/09,77.43
256,21/04/12,75.5
257,21/04/13,76.38
258,21/04/14,78.44
259,21/04/15,78.33
260,21/04/16,78.58
261,21/04/19,80.69
262,21/04/20,77.12
263,21/04/21,79.41
264,21/04/22,76.92
265,21/04/23,80.08
266,21/04/26,81.57
267,21/04/27,80.73
268,21/04/28,81.24
269,21/04/29,81.07
270,21/04/30,79.81
271,21/05/03,80.3
272,21/05/04,80.45
273,21/05/05,82.6
274,21/05/06,82.59
275,21/05/07,84.51
276,21/05/10,85.56
277,21/05/11,83.43
278,21/05/12,79.52
279,21/05/13,77.85
280,21/05/14,78.34
281,21/05/17,79.29
282,21/05/18,80.39
283,21/05/19,78.9
284,21/05/20,78.44
285,21/05/21,77.95
286,21/05/24,78.53
287,21/05/25,78.68
288,21/05/26,80.69
289,21/05/27,82.36
290,21/05/28,83.48
291,21/06/01,85.64
292,21/06/02,86.83
293,21/06/03,85.75
294,21/06/04,88.15
295,21/06/07,87.02
296,21/06/08,85.29
297,21/06/09,84.23
298,21/06/10,84.15
299,21/06/11,84.42
300,21/06/14,84.46
301,21/06/15,81.86
302,21/06/16,79.82
303,21/06/17,78.51
304,21/06/18,78.86
305,21/06/21,79.22
306,21/06/22,80.07
307,21/06/23,81.85
308,21/06/24,82.83
309,21/06/25,83.45
310,21/06/28,82.92
311,21/06/29,82.82
312,21/06/30,84.96
313,21/07/01,83.83
314,21/07/02,84.95
315,21/07/03,84.95
316,21/07/04,84.95
317,21/07/05,84.95
318,21/07/06,86.0
319,21/07/07,89.5
320,21/07/08,89.78
321,21/07/09,95.74
322,21/07/12,99.59
323,21/07/13,97.33
324,21/07/14,95.31
325,21/07/15,98.17
326,21/07/16,95.46
327,21/07/19,92.29
328,21/07/20,95.83
329,21/07/21,102.72
330,21/07/22,103.2
331,21/07/23,102.38
332,21/07/26,104.72
333,21/07/27,100.96
334,21/07/28,102.86
335,21/07/29,107.47
336,21/07/30,108.74
337,21/08/02,108.44
338,21/08/03,105.9
339,21/08/04,110.89
340,21/08/05,109.71
341,21/08/06,111.67
342,21/08/07,111.67
343,21/08/08,111.67
344,21/08/09,110.28
345,21/08/10,112.38
346,21/08/11,113.98
347,21/08/12,113.93
348,21/08/13,113.01
349,21/08/16,106.39
350,21/08/17,101.42
351,21/08/18,104.14
352,21/08/19,103.43
353,21/08/20,103.03
