Date,TSMC
2020-05-01,51.1
2020-05-04,52.15
2020-05-05,51.71
2020-05-06,52.13
2020-05-07,52.33
2020-05-08,52.91
2020-05-11,52.4
2020-05-12,51.1
2020-05-13,50.92
2020-05-14,52.1
2020-05-15,49.8
2020-05-18,51.87
2020-05-19,50.81
2020-05-20,51.84
2020-05-21,50.75
2020-05-22,49.8
2020-05-26,50.82
2020-05-27,51.74
2020-05-28,50.28
2020-05-29,50.33
2020-06-01,51.03
2020-06-02,52.01
2020-06-03,53.06
2020-06-04,54.28
2020-06-05,55.2
2020-06-08,55.57
2020-06-09,56.61
2020-06-10,57.55
2020-06-11,55.04
2020-06-12,56.0
2020-06-15,56.02
2020-06-16,55.8
2020-06-17,56.6
2020-06-18,56.15
2020-06-19,55.31
2020-06-22,56.0
2020-06-23,56.76
2020-06-24,56.58
2020-06-25,57.04
2020-06-26,56.33
2020-06-29,56.39
2020-06-30,56.77
2020-07-01,56.82
2020-07-02,58.62
2020-07-06,61.88
2020-07-07,60.71
2020-07-08,62.59
2020-07-09,64.78
2020-07-10,63.85
2020-07-13,65.07
2020-07-14,66.96
2020-07-15,66.06
2020-07-16,66.59
2020-07-17,66.4
2020-07-20,66.89
2020-07-21,67.81
2020-07-22,68.53
2020-07-23,67.37
2020-07-24,73.9
2020-07-27,83.25
2020-07-28,76.92
2020-07-29,82.67
2020-07-30,79.93
2020-07-31,78.89
2020-08-03,78.95
2020-08-04,80.19
2020-08-05,81.63
2020-08-06,80.52
2020-08-07,80.03
2020-08-10,79.87
2020-08-11,77.94
2020-08-12,79.39
2020-08-13,78.3
2020-08-14,78.41
2020-08-17,80.19
2020-08-18,79.41
2020-08-19,78.54
2020-08-20,76.81
2020-08-21,78.34
2020-08-24,78.9
2020-08-25,80.04
2020-08-26,81.75
2020-08-27,80.6
2020-08-28,80.44
2020-08-31,79.25
2020-09-01,81.55
2020-09-02,82.17
2020-09-03,81.18
2020-09-04,78.91
2020-09-08,77.32
2020-09-09,79.4
2020-09-10,78.9
2020-09-11,78.82
2020-09-14,80.5
2020-09-15,85.85
2020-09-16,83.13
2020-09-17,81.91
2020-09-18,80.23
2020-09-21,80.59
2020-09-22,80.48
2020-09-23,77.92
2020-09-24,78.38
2020-09-25,78.88
2020-09-28,79.77
2020-09-29,80.51
2020-09-30,81.07
2020-10-01,82.62
2020-10-02,80.8
2020-10-05,84.54
2020-10-06,83.12
2020-10-07,86.92
2020-10-08,87.8
2020-10-09,88.78
2020-10-12,90.91
2020-10-13,89.64
