"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 31일","118.28","119.00","119.43","117.90","119.81K","0.32%"
"2022년 03월 30일","117.90","116.87","119.73","116.79","171.12K","0.31%"
"2022년 03월 29일","117.54","115.77","117.73","115.36","131.68K","2.38%"
"2022년 03월 28일","114.81","116.35","116.35","113.21","126.96K","-1.70%"
"2022년 03월 25일","116.80","117.00","117.40","115.65","86.32K","-0.15%"
"2022년 03월 24일","116.97","115.00","116.97","114.17","286.84K","2.57%"
"2022년 03월 23일","114.04","113.27","115.49","112.69","109.26K","-0.43%"
"2022년 03월 22일","114.53","112.04","114.67","111.98","230.82K","3.53%"
"2022년 03월 21일","110.63","109.20","111.52","109.03","165.53K","1.64%"
"2022년 03월 18일","108.84","105.69","108.84","104.96","174.08K","3.81%"
"2022년 03월 17일","104.85","102.68","105.00","102.58","91.41K","1.29%"
"2022년 03월 16일","103.51","100.50","103.85","99.61","133.78K","6.24%"
"2022년 03월 15일","97.43","96.29","97.64","95.20","160.39K","-0.28%"
"2022년 03월 14일","97.70","100.78","100.93","97.40","206.56K","-4.94%"
"2022년 03월 11일","102.78","105.50","106.00","102.35","89.89K","-1.87%"
"2022년 03월 10일","104.74","103.35","104.86","103.01","90.64K","0.05%"
"2022년 03월 09일","104.69","102.00","105.05","101.88","157.82K","3.77%"
"2022년 03월 08일","100.89","99.78","101.75","97.57","281.17K","-0.53%"
"2022년 03월 07일","101.43","104.42","105.41","101.24","245.10K","-3.60%"
"2022년 03월 04일","105.22","105.81","106.15","102.70","203.66K","-3.17%"
"2022년 03월 03일","108.66","111.51","111.51","107.59","82.31K","-1.75%"
"2022년 03월 02일","110.59","109.53","110.99","108.56","186.06K","3.36%"
"2022년 03월 01일","106.99","109.89","111.25","105.60","210.74K","-3.40%"
"2022년 02월 28일","110.76","110.34","111.60","109.14","146.59K","0.41%"
"2022년 02월 25일","110.31","106.13","110.38","105.47","267.02K","5.84%"
"2022년 02월 24일","104.22","99.85","104.49","99.01","415.75K","0.60%"
"2022년 02월 23일","103.60","105.28","107.06","103.44","160.23K","0.65%"
"2022년 02월 22일","102.93","105.53","105.61","102.40","289.22K","-2.80%"
"2022년 02월 18일","105.90","106.55","108.78","105.45","171.25K","0.09%"
"2022년 02월 17일","105.81","108.85","109.05","105.65","112.66K","-3.84%"
"2022년 02월 16일","110.03","108.98","110.50","108.01","180.21K","3.07%"
"2022년 02월 15일","106.75","104.35","106.75","104.33","146.56K","3.97%"
"2022년 02월 14일","102.67","103.59","103.93","102.05","118.49K","-2.38%"
"2022년 02월 11일","105.17","107.26","107.92","104.33","191.90K","-2.63%"
"2022년 02월 10일","108.01","106.58","110.99","106.58","278.01K","-0.65%"
"2022년 02월 09일","108.72","106.92","108.78","106.55","138.00K","4.12%"
"2022년 02월 08일","104.42","102.32","104.57","102.12","73.75K","1.69%"
"2022년 02월 07일","102.68","102.13","103.54","101.72","162.42K","1.24%"
"2022년 02월 04일","101.42","98.59","101.85","98.59","145.90K","2.42%"
"2022년 02월 03일","99.02","101.20","101.20","98.35","129.35K","-4.81%"
"2022년 02월 02일","104.02","104.37","105.08","103.11","104.97K","0.24%"
"2022년 02월 01일","103.77","103.35","104.39","101.65","166.63K","2.15%"
"2022년 01월 31일","101.59","98.00","101.62","98.00","116.15K","4.61%"
"2022년 01월 28일","97.11","97.70","97.81","94.40","278.57K","-0.81%"
"2022년 01월 27일","97.90","101.43","102.19","97.80","321.76K","-3.33%"
"2022년 01월 26일","101.27","103.98","105.06","99.96","427.09K","-0.65%"
