,Date,ITA_Close
0,01/11/21,105.36
1,02/11/21,104.62
2,03/11/21,105.46
3,04/11/21,105.26
4,05/11/21,108.96
5,08/11/21,108.5
6,09/11/21,108.63
7,10/11/21,107.56
8,11/11/21,106.69
9,12/11/21,106.86
10,15/11/21,108.35
11,16/11/21,106.93
12,17/11/21,106.71
13,18/11/21,106.53
14,19/11/21,104.18
15,22/11/21,104.55
16,23/11/21,104.48
17,24/11/21,104.52
18,26/11/21,99.88
19,29/11/21,100.01
20,30/11/21,98.1
21,01/12/21,95.53
22,02/12/21,99.1
23,03/12/21,98.36
24,06/12/21,100.93
25,07/12/21,101.73
26,08/12/21,102.86
27,09/12/21,102.06
28,10/12/21,101.86
29,13/12/21,99.87
30,14/12/21,99.18
31,15/12/21,99.71
32,16/12/21,98.48
33,17/12/21,98.5
34,20/12/21,97.04
35,21/12/21,100.72
36,22/12/21,101.21
37,23/12/21,102.32
38,27/12/21,102.64
39,28/12/21,103.26
40,29/12/21,102.82
41,30/12/21,102.72
42,31/12/21,102.78
43,03/01/22,103.75
44,04/01/22,106.26
45,05/01/22,105.19
46,06/01/22,105.54
47,07/01/22,106.41
48,10/01/22,105.42
49,11/01/22,106.64
50,12/01/22,106.68
51,13/01/22,107.19
52,14/01/22,108.08
53,18/01/22,106.69
54,19/01/22,105.3
55,20/01/22,104.21
56,21/01/22,102.22
57,24/01/22,102.92
58,25/01/22,102.62
59,26/01/22,100.77
60,27/01/22,98.82
61,28/01/22,99.69
62,31/01/22,101.13
63,01/02/22,102.33
64,02/02/22,102.96
65,03/02/22,102.3
66,04/02/22,102.42
67,07/02/22,103.76
68,08/02/22,105.05
69,09/02/22,106.32
70,10/02/22,105.55
71,11/02/22,105.18
72,14/02/22,104.09
73,15/02/22,105.9
74,16/02/22,106.97
75,17/02/22,105.59
76,18/02/22,104.3
77,22/02/22,102.86
78,23/02/22,101.69
79,24/02/22,104.49
80,25/02/22,107.63
81,28/02/22,111.9
82,01/03/22,110.71
83,02/03/22,111.54
84,03/03/22,109.85
85,04/03/22,109.33
86,07/03/22,107.11
87,08/03/22,105.05
88,09/03/22,107.52
89,10/03/22,107.42
90,11/03/22,105.84
91,14/03/22,105.35
92,15/03/22,107.14
93,16/03/22,106.89
94,17/03/22,108.56
95,18/03/22,109.2
96,21/03/22,110.6
97,22/03/22,111.93
98,23/03/22,111.49
99,24/03/22,112.56
100,25/03/22,112.95
101,28/03/22,111.43
102,29/03/22,112.02
103,30/03/22,112.24
104,31/03/22,110.79
