,Date,ITA_Close
0,02/11/20,77.44
1,03/11/20,79.91
2,04/11/20,79.87
3,05/11/20,80.8
4,06/11/20,80.73
5,09/11/20,86.34
6,10/11/20,89.22
7,11/11/20,87.63
8,12/11/20,86.53
9,13/11/20,89.37
10,16/11/20,91.9
11,17/11/20,92.58
12,18/11/20,92.3
13,19/11/20,92.75
14,20/11/20,91.06
15,23/11/20,93.47
16,24/11/20,95.78
17,25/11/20,95.19
18,27/11/20,94.67
19,30/11/20,92.41
20,01/12/20,93.09
21,02/12/20,93.97
22,03/12/20,95.54
23,04/12/20,96.6
24,07/12/20,96.49
25,08/12/20,96.94
26,09/12/20,96.42
27,10/12/20,96.14
28,11/12/20,96.23
29,14/12/20,94.61
30,15/12/20,95.45
31,16/12/20,94.3
32,17/12/20,93.84
33,18/12/20,94.2
34,21/12/20,93.49
35,22/12/20,93.19
36,23/12/20,94.81
37,24/12/20,94.19
38,28/12/20,94.34
39,29/12/20,93.88
40,30/12/20,94.76
41,31/12/20,94.72
42,04/01/21,90.82
43,05/01/21,92.89
44,06/01/21,93.84
45,07/01/21,93.66
46,08/01/21,93.32
47,11/01/21,93.37
48,12/01/21,94.96
49,13/01/21,94.62
50,14/01/21,96.25
51,15/01/21,94.3
52,19/01/21,95.25
53,20/01/21,95.33
54,21/01/21,93.87
55,22/01/21,93.95
56,25/01/21,93.3
57,26/01/21,92.23
58,27/01/21,89.95
59,28/01/21,90.81
60,29/01/21,89.08
61,01/02/21,90.61
62,02/02/21,93.12
63,03/02/21,94.5
64,04/02/21,96.36
65,05/02/21,95.99
66,08/02/21,97.4
67,09/02/21,98.23
68,10/02/21,97.62
69,11/02/21,98.19
70,12/02/21,97.91
71,16/02/21,97.65
72,17/02/21,98.1
73,18/02/21,96.8
74,19/02/21,99.01
75,22/02/21,97.99
76,23/02/21,98.09
77,24/02/21,101.27
78,25/02/21,97.38
79,26/02/21,95.61
80,01/03/21,98.81
81,02/03/21,98.46
82,03/03/21,98.78
83,04/03/21,96.92
84,05/03/21,98.05
85,08/03/21,98.4
86,09/03/21,98.57
87,10/03/21,101.27
88,11/03/21,102.71
89,12/03/21,105.56
90,15/03/21,106.06
91,16/03/21,103.88
92,17/03/21,105.81
93,18/03/21,104.14
94,19/03/21,103.97
95,22/03/21,103.12
96,23/03/21,100.37
97,24/03/21,100.25
98,25/03/21,102.28
99,26/03/21,102.64
100,29/03/21,103.18
101,30/03/21,103.84
102,31/03/21,104.11
