Date,Open,High,Low,Close,Volume,Change
2021-11-01,11000,11070,10970,10970,14645,-0.0027272727272726893
2021-11-02,11095,11175,11090,11175,26889,0.018687329079307258
2021-11-03,11115,11120,11050,11070,8562,-0.00939597315436247
2021-11-04,11000,11080,10965,11000,9364,-0.006323396567298967
2021-11-05,10950,10950,10870,10875,11687,-0.011363636363636354
2021-11-08,10865,10870,10700,10770,18835,-0.0096551724137931
2021-11-09,10770,10770,10695,10730,10934,-0.00371402042711233
2021-11-10,10840,10850,10775,10850,8646,0.011183597390493905
2021-11-11,10920,11100,10920,11100,19084,0.02304147465437789
2021-11-12,11100,11170,11000,11105,15660,0.00045045045045055687
2021-11-15,11300,11300,11130,11210,21549,0.009455200360198202
2021-11-16,11210,11265,11210,11250,10758,0.003568242640499486
2021-11-17,11190,11190,11050,11145,10968,-0.009333333333333305
2021-11-18,11205,11330,11205,11330,16902,0.01659937191565719
2021-11-19,11310,11325,11130,11305,13031,-0.0022065313327449543
2021-11-22,11310,11310,11205,11255,13124,-0.00442282176028308
2021-11-23,11305,11430,11305,11360,15114,0.009329187027987462
2021-11-24,11475,11505,11380,11500,12891,0.012323943661971759
2021-11-25,11450,11450,11345,11370,7118,-0.011304347826086913
2021-11-26,11285,11450,11235,11235,22793,-0.01187335092348285
2021-11-29,11390,11400,11145,11400,17069,0.014686248331108098
2021-11-30,11250,11250,11120,11150,15912,-0.021929824561403466
2021-12-01,10870,10975,10820,10950,15478,-0.017937219730941756
2021-12-02,10950,10950,10855,10940,5008,-0.0009132420091324533
2021-12-03,11000,11190,10985,11160,6761,0.02010968921389389
2021-12-06,11160,11205,11150,11165,4298,0.00044802867383508804
2021-12-07,11170,11170,11080,11130,5340,-0.0031347962382445305
2021-12-08,11130,11210,11100,11115,5724,-0.0013477088948786742
2021-12-09,11120,11165,11060,11120,13800,0.0004498425551056062
2021-12-10,11120,11140,11025,11100,9877,-0.0017985611510791255
2021-12-13,11095,11165,11090,11115,6529,0.0013513513513514486
2021-12-14,11115,11115,10950,11035,8789,-0.007197480881691365
2021-12-15,11035,11150,11030,11040,5207,0.000453103760761131
2021-12-16,11000,11000,10885,11000,4737,-0.0036231884057971175
2021-12-17,11010,11100,11000,11090,8854,0.00818181818181829
2021-12-20,11250,11250,11070,11070,6851,-0.0018034265103696878
2021-12-21,11070,11150,11070,11140,3941,0.006323396567299078
2021-12-22,11250,11380,11240,11315,24118,0.01570915619389579
2021-12-23,11405,11515,11400,11515,22956,0.017675651789659685
2021-12-24,11530,11530,11400,11405,10349,-0.009552757273121992
2021-12-27,11405,11600,11405,11520,12843,0.010083296799649366
2021-12-28,11615,11680,11590,11650,10727,0.011284722222222321
2021-12-29,11500,11570,11400,11400,10878,-0.02145922746781115
2021-12-30,11410,11485,11410,11470,10630,0.0061403508771928905
2022-01-03,11470,11470,11330,11395,10382,-0.006538796861377483
2022-01-04,11300,11375,11300,11350,5822,-0.003949100482667833
2022-01-05,11415,11540,11410,11450,8944,0.008810572687224738
2022-01-06,11315,11485,11250,11250,5825,-0.017467248908296984
2022-01-07,11240,11435,11240,11310,4378,0.005333333333333412
2022-01-10,11390,11500,11390,11400,12035,0.007957559681697646
2022-01-11,11400,11425,11300,11360,7736,-0.0035087719298245723
2022-01-12,11495,11495,11360,11450,3283,0.007922535211267512
2022-01-13,11500,11500,11330,11330,7050,-0.010480349344978213
