일자,종가,대비,등락률,시가,고가,저가
2022-03-31,75060,250,0.33,75160,75370,74720
2022-03-30,74810,-630,-0.84,75230,75230,74580
2022-03-29,75440,-940,-1.23,75880,75930,75340
2022-03-28,76380,-290,-0.38,76640,77140,76230
2022-03-25,76670,640,0.84,76770,76980,76630
2022-03-24,76030,1170,1.56,75960,76430,75870
2022-03-23,74860,-930,-1.23,75260,75270,74740
2022-03-22,75790,520,0.69,75710,76120,75680
2022-03-21,75270,180,0.24,74510,75390,74480
2022-03-18,75090,-410,-0.54,75810,75900,75080
2022-03-17,75500,-570,-0.75,76550,76580,75410
2022-03-16,76070,-1120,-1.45,76600,76910,75990
2022-03-15,77190,-1720,-2.18,78040,78070,76870
2022-03-14,78910,190,0.24,78260,78930,78150
2022-03-11,78720,340,0.43,78910,79140,78490
2022-03-10,78380,-1550,-1.94,79230,79240,77800
2022-03-08,79930,1640,2.09,78870,79940,78460
2022-03-07,78290,2690,3.56,77680,78870,77510
2022-03-04,75600,900,1.2,74960,76020,74940
2022-03-03,74700,-430,-0.57,74800,74860,74370
2022-03-02,75130,1340,1.82,75140,75370,74770
2022-02-28,73790,-260,-0.35,73980,74330,73580
2022-02-25,74050,-910,-1.21,73910,74250,73610
2022-02-24,74960,2160,2.97,73330,75340,73320
2022-02-23,72800,-400,-0.55,72830,72850,72640
2022-02-22,73200,760,1.05,73210,73570,73140
2022-02-21,72440,-310,-0.43,73240,73560,72410
2022-02-18,72750,580,0.8,73130,73330,72620
2022-02-17,72170,750,1.05,72020,72330,71780
2022-02-16,71420,-1030,-1.42,71510,71520,71200
2022-02-15,72450,1500,2.11,71650,72510,71630
2022-02-14,70950,710,1.01,71660,71750,70940
2022-02-11,70240,-340,-0.48,70270,70550,70210
2022-02-10,70580,280,0.4,70530,70600,70350
2022-02-09,70300,180,0.26,70320,70340,70130
2022-02-08,70120,260,0.37,70320,70350,70040
2022-02-07,69860,320,0.46,69640,69940,69630
2022-02-04,69540,-490,-0.7,70040,70080,69500
2022-02-03,70030,350,0.5,70070,70140,69880
2022-01-28,69680,-380,-0.54,69530,69820,69480
2022-01-27,70060,-1050,-1.48,70090,70380,70020
2022-01-26,71110,140,0.2,71250,71300,71040
2022-01-25,70970,260,0.37,70870,71080,70810
2022-01-24,70710,60,0.08,70500,70740,70360
2022-01-21,70650,110,0.16,70510,70730,70450
2022-01-20,70540,1070,1.54,70490,70580,70270
2022-01-19,69470,-40,-0.06,69430,69640,69370
2022-01-18,69510,-250,-0.36,69730,69770,69440
2022-01-17,69760,0,0,69390,69820,69330
2022-01-14,69760,90,0.13,69540,69810,69510
2022-01-13,69670,-10,-0.01,69890,69910,69610
2022-01-12,69680,260,0.37,69960,69970,69550
2022-01-11,69420,300,0.43,69470,69550,69270
2022-01-10,69120,-40,-0.06,69370,69380,69090
2022-01-07,69160,-460,-0.66,69160,69380,69110
2022-01-06,69620,-220,-0.32,69690,69910,69520
2022-01-05,69840,560,0.81,69620,70020,69610
2022-01-04,69280,-650,-0.93,69100,69410,69100
2022-01-03,69930,1190,1.73,69920,70060,69840
2021-12-30,68740,-170,-0.25,68840,68890,68570
2021-12-29,68910,-420,-0.61,69010,69030,68850
2021-12-28,69330,280,0.41,69130,69340,68990
2021-12-27,69050,40,0.06,68970,69080,68910
2021-12-24,69010,50,0.07,69080,69120,68980
2021-12-23,68960,430,0.63,69150,69180,68850
2021-12-22,68530,-130,-0.19,68640,68680,68450
2021-12-21,68660,-330,-0.48,68590,68730,68480
2021-12-20,68990,420,0.61,68340,69090,68340
2021-12-17,68570,660,0.97,68460,68820,68440
2021-12-16,67910,480,0.71,67810,67950,67570
2021-12-15,67430,-530,-0.78,67390,67660,67380
2021-12-14,67960,170,0.25,67840,68110,67770
2021-12-13,67790,460,0.68,67770,67810,67520
2021-12-10,67330,-90,-0.13,67060,67460,67050
2021-12-09,67420,-210,-0.31,67440,67480,67250
2021-12-08,67630,90,0.13,67660,67780,67460
2021-12-07,67540,-360,-0.53,67720,67780,67420
2021-12-06,67900,640,0.95,67640,68060,67630
2021-12-03,67260,40,0.06,66920,67360,66880
2021-12-02,67220,-580,-0.86,67540,67610,67150
2021-12-01,67800,-660,-0.96,67840,67890,67360
2021-11-30,68460,-390,-0.57,68540,68630,68110
2021-11-29,68850,-290,-0.42,68520,69040,68520
2021-11-26,69140,530,0.77,68560,69140,68560
2021-11-25,68610,180,0.26,68200,68650,68170
2021-11-24,68430,-600,-0.87,68450,68690,68380
2021-11-23,69030,-1210,-1.72,68950,69270,68880
2021-11-22,70240,-680,-0.96,70250,70660,70240
2021-11-19,70920,190,0.27,70560,71030,70530
2021-11-18,70730,210,0.3,71000,71140,70670
2021-11-17,70520,-260,-0.37,70200,70700,70170
2021-11-16,70780,400,0.57,70610,70870,70540
2021-11-15,70380,-80,-0.11,70790,70910,70330
2021-11-12,70460,130,0.18,70700,70780,70220
2021-11-11,70330,1050,1.52,70180,70670,70180
2021-11-10,69280,260,0.38,69340,69550,69210
2021-11-09,69020,-110,-0.16,69430,69430,68990
2021-11-08,69130,670,0.98,69230,69400,68990
2021-11-05,68460,1060,1.57,68130,68500,68090
2021-11-04,67400,-220,-0.33,67430,67520,67230
2021-11-03,67620,-140,-0.21,67470,67860,67470
2021-11-02,67760,310,0.46,67780,67860,67580
2021-11-01,67450,0,0,66900,67660,66850
