isuutz2n
category,금
Mon Nov 02 2020,1884.9
Tue Nov 03 2020,1891.38
Wed Nov 04 2020,1892.79
Thu Nov 05 2020,1911.93
Fri Nov 06 2020,1948.08
Sat Nov 07 2020,1952.05
Mon Nov 09 2020,1956.9
Tue Nov 10 2020,1886.43
Wed Nov 11 2020,1877.75
Thu Nov 12 2020,1869.38
Fri Nov 13 2020,1879.68
Sat Nov 14 2020,1888.74
Mon Nov 16 2020,1891.85
Tue Nov 17 2020,1888.15
Wed Nov 18 2020,1883.13
Thu Nov 19 2020,1864.51
Fri Nov 20 2020,1866.88
Sat Nov 21 2020,1871.17
Mon Nov 23 2020,1875.05
Tue Nov 24 2020,1828.6
Wed Nov 25 2020,1810.78
Thu Nov 26 2020,1816.7
Fri Nov 27 2020,1811.1
Sat Nov 28 2020,1789.2
Mon Nov 30 2020,1781.33
Tue Dec 01 2020,1792.2
Wed Dec 02 2020,1816.43
Thu Dec 03 2020,1843.43
Fri Dec 04 2020,1840.58
Sat Dec 05 2020,1838.15
Mon Dec 07 2020,1838.15
Tue Dec 08 2020,1866.5
Wed Dec 09 2020,1860.8
Thu Dec 10 2020,1838.28
Fri Dec 11 2020,1834.73
Sat Dec 12 2020,1839.71
Mon Dec 14 2020,1833.4
Tue Dec 15 2020,1844.1
Wed Dec 16 2020,1855.5
Thu Dec 17 2020,1875.41
Fri Dec 18 2020,1881.87
Sat Dec 19 2020,1881.19
Mon Dec 21 2020,1894.44
Tue Dec 22 2020,1869.88
Wed Dec 23 2020,1867.2
Thu Dec 24 2020,1877.28
Fri Dec 25 2020,1878.63
Sat Dec 26 2020,1877.23
Mon Dec 28 2020,1885.41
Tue Dec 29 2020,1880.48
Wed Dec 30 2020,1879.72
Thu Dec 31 2020,1893.58
Fri Jan 01 2021,1898.75
Sat Jan 02 2021,1898.75
Mon Jan 04 2021,1925.15
Tue Jan 05 2021,1941.02
Wed Jan 06 2021,1948.77
Thu Jan 07 2021,1921.43
Fri Jan 08 2021,1906.3
Sat Jan 09 2021,1848.84
Mon Jan 11 2021,1846.49
Tue Jan 12 2021,1860.5
Wed Jan 13 2021,1858.7
Thu Jan 14 2021,1843.23
Fri Jan 15 2021,1852.3
Sat Jan 16 2021,1827.15
Mon Jan 18 2021,1835.14
Tue Jan 19 2021,1839.15
Wed Jan 20 2021,1856.83
Thu Jan 21 2021,1868.08
Fri Jan 22 2021,1862.4
Sat Jan 23 2021,1853.7
Mon Jan 25 2021,1853.94
Tue Jan 26 2021,1851.8
Wed Jan 27 2021,1851.73
Thu Jan 28 2021,1837.1
Fri Jan 29 2021,1846.36
Sat Jan 30 2021,1846.65
Mon Feb 01 2021,1862.25
Tue Feb 02 2021,1849.4
Wed Feb 03 2021,1836.58
Thu Feb 04 2021,1826.2
Fri Feb 05 2021,1799.4
Sat Feb 06 2021,1812.1
Mon Feb 08 2021,1816.2
Tue Feb 09 2021,1844.03
Wed Feb 10 2021,1846.9
Thu Feb 11 2021,1843.89
Fri Feb 12 2021,1818.08
Sat Feb 13 2021,1823.99
Mon Feb 15 2021,1818.2
Tue Feb 16 2021,1821.92
