Date,ETF,WTI,ExchangeRate,Gold,Pork,ITA
2021-11-01,10970,84.05,1177.5,67450,2393.0,105.36
2021-11-02,11175,83.91,1176.0,67760,2390.0,104.62
2021-11-03,11070,80.86,1183.5,67620,2376.0,105.46
2021-11-04,11000,78.81,1183.5,67400,2504.0,105.26
2021-11-05,10875,81.27,1184.5,68460,2515.0,108.96
2021-11-08,10770,81.93,1181.5,69130,2518.0,108.5
2021-11-09,10730,84.15,1176.5,69020,2521.0,108.63
2021-11-10,10850,81.34,1180.0,69280,2533.0,107.56
2021-11-11,11100,81.59,1181.0,70330,2516.0,106.69
2021-11-12,11105,80.79,1178.5,70460,2511.0,106.86
2021-11-15,11210,80.88,1179.0,70380,2528.0,108.35
2021-11-16,11250,80.76,1184.62,70780,2532.0,106.93
2021-11-17,11145,78.36,1182.0,70520,2536.0,106.71
2021-11-18,11330,79.01,1185.0,70730,2625.0,106.53
2021-11-19,11305,76.1,1191.0,70920,2619.0,104.18
2021-11-22,11255,76.75,1187.0,70240,2623.0,104.55
2021-11-23,11360,78.5,1191.0,69030,2623.0,104.48
2021-11-24,11500,78.39,1188.0,68430,2623.0,104.52
2021-11-26,11235,68.15,1195.5,69140,2507.0,99.88
2021-11-29,11400,69.95,1193.4,68850,2486.0,100.01
2021-11-30,11150,66.18,1190.4,68460,2486.0,98.1
2021-12-01,10950,65.57,1180.5,67800,2491.0,95.53
2021-12-02,10940,66.5,1175.5,67220,2646.0,99.1
2021-12-06,11165,69.49,1182.0,67900,2689.0,100.93
2021-12-07,11130,72.05,1179.5,67540,2700.0,101.73
2021-12-08,11115,72.36,1175.5,67630,2708.0,102.86
2021-12-09,11120,70.94,1177.5,67420,2771.0,102.06
2021-12-10,11100,71.67,1180.5,67330,2787.0,101.86
2021-12-13,11115,71.29,1182.5,67790,2776.0,99.87
2021-12-14,11035,70.73,1184.5,67960,2780.0,99.18
2021-12-15,11040,70.87,1187.5,67430,2784.0,99.71
2021-12-16,11000,72.38,1183.5,67910,2782.0,98.48
2021-12-17,11090,70.86,1185.5,68570,2785.0,98.5
2021-12-20,11070,68.23,1191.5,68990,2774.0,97.04
2021-12-21,11140,71.12,1190.5,68660,2774.0,100.72
2021-12-22,11315,72.76,1190.5,68530,2768.0,101.21
2021-12-23,11515,73.79,1187.0,68960,2666.0,102.32
2021-12-27,11520,75.57,1188.0,69050,2699.0,102.64
2021-12-28,11650,75.98,1187.5,69330,2694.0,103.26
2021-12-29,11400,76.56,1187.0,68910,2689.0,102.82
2021-12-30,11470,76.99,1189.5,68740,2541.0,102.72
2022-01-03,11395,76.08,1193.0,69930,2482.0,103.75
2022-01-04,11350,76.99,1198.0,69280,2484.0,106.26
2022-01-05,11450,77.85,1196.5,69840,2501.0,105.19
2022-01-06,11250,79.46,1203.0,69620,2347.0,105.54
2022-01-07,11310,78.9,1203.0,69160,2319.0,106.41
2022-01-10,11400,78.23,1198.0,69120,2335.0,105.42
2022-01-11,11360,81.22,1194.0,69420,2335.0,106.64
2022-01-12,11450,82.64,1188.5,69680,2343.0,106.68
2022-01-13,11330,82.12,1185.0,69670,2377.0,107.19
2022-01-14,11200,83.82,1189.5,69760,2375.0,108.08
2022-01-18,11200,85.43,1191.5,69510,2372.0,106.69
2022-01-19,11430,86.96,1188.0,69470,2392.0,105.3
2022-01-20,11650,86.9,1190.0,70540,2318.0,104.21
2022-01-21,11610,85.14,1191.5,70650,2343.0,102.22
2022-01-24,11755,83.31,1196.5,70710,2309.0,102.92
2022-01-25,11755,85.6,1198.0,70970,2309.0,102.62
2022-01-26,11735,87.35,1196.0,71110,2309.0,100.77
2022-01-27,11760,86.61,1203.5,70060,2305.0,98.82
2022-01-28,11835,86.82,1211.0,69680,2293.0,99.69
2022-02-03,11870,90.27,1202.0,70030,2397.0,102.3
2022-02-04,11900,92.31,1200.0,69540,2376.0,102.42
2022-02-07,12155,91.32,1199.0,69860,2396.0,103.76
2022-02-08,12230,89.36,1198.5,70120,2382.0,105.05
2022-02-09,12210,89.66,1194.5,70300,2375.0,106.32
2022-02-10,12380,89.88,1198.0,70580,2351.0,105.55
2022-02-11,12260,93.1,1194.5,70240,2377.0,105.18
2022-02-14,12575,95.46,1196.5,70950,2366.0,104.09
