,Date,ITA_Close
104,2021-11-01,105.36
103,2021-11-02,104.62
102,2021-11-03,105.46
101,2021-11-04,105.26
100,2021-11-05,108.96
99,2021-11-08,108.5
98,2021-11-09,108.63
97,2021-11-10,107.56
96,2021-11-11,106.69
95,2021-11-12,106.86
94,2021-11-15,108.35
93,2021-11-16,106.93
92,2021-11-17,106.71
91,2021-11-18,106.53
90,2021-11-19,104.18
89,2021-11-22,104.55
88,2021-11-23,104.48
87,2021-11-24,104.52
86,2021-11-26,99.88
85,2021-11-29,100.01
84,2021-11-30,98.1
83,2021-12-01,95.53
82,2021-12-02,99.1
81,2021-12-03,98.36
80,2021-12-06,100.93
79,2021-12-07,101.73
78,2021-12-08,102.86
77,2021-12-09,102.06
76,2021-12-10,101.86
75,2021-12-13,99.87
74,2021-12-14,99.18
73,2021-12-15,99.71
72,2021-12-16,98.48
71,2021-12-17,98.5
70,2021-12-20,97.04
69,2021-12-21,100.72
68,2021-12-22,101.21
67,2021-12-23,102.32
66,2021-12-27,102.64
65,2021-12-28,103.26
64,2021-12-29,102.82
63,2021-12-30,102.72
62,2021-12-31,102.78
61,2022-01-03,103.75
60,2022-01-04,106.26
59,2022-01-05,105.19
58,2022-01-06,105.54
57,2022-01-07,106.41
56,2022-01-10,105.42
55,2022-01-11,106.64
54,2022-01-12,106.68
53,2022-01-13,107.19
52,2022-01-14,108.08
51,2022-01-18,106.69
50,2022-01-19,105.3
49,2022-01-20,104.21
48,2022-01-21,102.22
47,2022-01-24,102.92
46,2022-01-25,102.62
45,2022-01-26,100.77
44,2022-01-27,98.82
43,2022-01-28,99.69
42,2022-01-31,101.13
41,2022-02-01,102.33
40,2022-02-02,102.96
39,2022-02-03,102.3
38,2022-02-04,102.42
37,2022-02-07,103.76
36,2022-02-08,105.05
35,2022-02-09,106.32
34,2022-02-10,105.55
33,2022-02-11,105.18
32,2022-02-14,104.09
31,2022-02-15,105.9
30,2022-02-16,106.97
29,2022-02-17,105.59
28,2022-02-18,104.3
27,2022-02-22,102.86
26,2022-02-23,101.69
25,2022-02-24,104.49
24,2022-02-25,107.63
23,2022-02-28,111.9
22,2022-03-01,110.71
21,2022-03-02,111.54
20,2022-03-03,109.85
19,2022-03-04,109.33
18,2022-03-07,107.11
17,2022-03-08,105.05
16,2022-03-09,107.52
15,2022-03-10,107.42
14,2022-03-11,105.84
13,2022-03-14,105.35
12,2022-03-15,107.14
11,2022-03-16,106.89
10,2022-03-17,108.56
9,2022-03-18,109.2
8,2022-03-21,110.6
7,2022-03-22,111.93
6,2022-03-23,111.49
5,2022-03-24,112.56
4,2022-03-25,112.95
3,2022-03-28,111.43
2,2022-03-29,112.02
1,2022-03-30,112.24
0,2022-03-31,110.79
