,Date,ITA_Close
102,2020-11-02,77.44
101,2020-11-03,79.91
100,2020-11-04,79.87
99,2020-11-05,80.8
98,2020-11-06,80.73
97,2020-11-09,86.34
96,2020-11-10,89.22
95,2020-11-11,87.63
94,2020-11-12,86.53
93,2020-11-13,89.37
92,2020-11-16,91.9
91,2020-11-17,92.58
90,2020-11-18,92.3
89,2020-11-19,92.75
88,2020-11-20,91.06
87,2020-11-23,93.47
86,2020-11-24,95.78
85,2020-11-25,95.19
84,2020-11-27,94.67
83,2020-11-30,92.41
82,2020-12-01,93.09
81,2020-12-02,93.97
80,2020-12-03,95.54
79,2020-12-04,96.6
78,2020-12-07,96.49
77,2020-12-08,96.94
76,2020-12-09,96.42
75,2020-12-10,96.14
74,2020-12-11,96.23
73,2020-12-14,94.61
72,2020-12-15,95.45
71,2020-12-16,94.3
70,2020-12-17,93.84
69,2020-12-18,94.2
68,2020-12-21,93.49
67,2020-12-22,93.19
66,2020-12-23,94.81
65,2020-12-24,94.19
64,2020-12-28,94.34
63,2020-12-29,93.88
62,2020-12-30,94.76
61,2020-12-31,94.72
60,2021-01-04,90.82
59,2021-01-05,92.89
58,2021-01-06,93.84
57,2021-01-07,93.66
56,2021-01-08,93.32
55,2021-01-11,93.37
54,2021-01-12,94.96
53,2021-01-13,94.62
52,2021-01-14,96.25
51,2021-01-15,94.3
50,2021-01-19,95.25
49,2021-01-20,95.33
48,2021-01-21,93.87
47,2021-01-22,93.95
46,2021-01-25,93.3
45,2021-01-26,92.23
44,2021-01-27,89.95
43,2021-01-28,90.81
42,2021-01-29,89.08
41,2021-02-01,90.61
40,2021-02-02,93.12
39,2021-02-03,94.5
38,2021-02-04,96.36
37,2021-02-05,95.99
36,2021-02-08,97.4
35,2021-02-09,98.23
34,2021-02-10,97.62
33,2021-02-11,98.19
32,2021-02-12,97.91
31,2021-02-16,97.65
30,2021-02-17,98.1
29,2021-02-18,96.8
28,2021-02-19,99.01
27,2021-02-22,97.99
26,2021-02-23,98.09
25,2021-02-24,101.27
24,2021-02-25,97.38
23,2021-02-26,95.61
22,2021-03-01,98.81
21,2021-03-02,98.46
20,2021-03-03,98.78
19,2021-03-04,96.92
18,2021-03-05,98.05
17,2021-03-08,98.4
16,2021-03-09,98.57
15,2021-03-10,101.27
14,2021-03-11,102.71
13,2021-03-12,105.56
12,2021-03-15,106.06
11,2021-03-16,103.88
10,2021-03-17,105.81
9,2021-03-18,104.14
8,2021-03-19,103.97
7,2021-03-22,103.12
6,2021-03-23,100.37
5,2021-03-24,100.25
4,2021-03-25,102.28
3,2021-03-26,102.64
2,2021-03-29,103.18
1,2021-03-30,103.84
0,2021-03-31,104.11
