일자,종가,대비,등락률,시가,고가,저가
2021-03-31,61400,-710,-1.14,61410,61450,61070
2021-03-30,62110,-730,-1.16,62270,62460,62110
2021-03-29,62840,70,0.11,62860,63070,62780
2021-03-26,62770,-450,-0.71,62920,63020,62690
2021-03-25,63220,130,0.21,63210,63390,63100
2021-03-24,63090,-40,-0.06,62730,63240,62700
2021-03-23,63130,260,0.41,63090,63180,62800
2021-03-22,62870,-430,-0.68,63250,63470,62760
2021-03-19,63300,30,0.05,62670,63380,62590
2021-03-18,63270,200,0.32,63540,63560,63090
2021-03-17,63070,90,0.14,62900,63250,62870
2021-03-16,62980,-40,-0.06,63230,63270,62980
2021-03-15,63020,680,1.09,62910,63180,62860
2021-03-12,62340,-1000,-1.58,62930,62950,62340
2021-03-11,63340,370,0.59,63430,63450,63100
2021-03-10,62970,900,1.45,62860,63060,62700
2021-03-09,62070,-70,-0.11,61410,62080,61370
2021-03-08,62140,720,1.17,61930,62380,61790
2021-03-05,61420,-670,-1.08,61390,61680,61250
2021-03-04,62090,-320,-0.51,61610,62180,61540
2021-03-03,62410,220,0.35,62840,62860,62330
2021-03-02,62190,-1520,-2.39,62270,62320,61650
2021-02-26,63710,-230,-0.36,63110,64080,63050
2021-02-25,63940,-750,-1.16,64490,64510,63910
2021-02-24,64690,-50,-0.08,64500,64720,64400
2021-02-23,64740,700,1.09,64600,64830,64570
2021-02-22,64040,1010,1.6,63400,64040,63320
2021-02-19,63030,-490,-0.77,63240,63280,62630
2021-02-18,63520,-290,-0.45,63260,63530,63120
2021-02-17,63810,-690,-1.07,63270,63920,63240
2021-02-16,64500,70,0.11,64410,64640,64320
2021-02-15,64430,-1160,-1.77,64880,64900,64430
2021-02-10,65590,-450,-0.68,66020,66030,65550
2021-02-09,66040,710,1.09,65860,66060,65750
2021-02-08,65330,400,0.62,65660,65690,65040
2021-02-05,64930,-630,-0.96,64560,65090,64520
2021-02-04,65560,-290,-0.44,65740,65770,65260
2021-02-03,65850,-840,-1.26,66080,66080,65770
2021-02-02,66690,-270,-0.4,66790,66880,66490
2021-02-01,66960,570,0.86,66840,67050,66440
2021-01-29,66390,230,0.35,66340,66560,66020
2021-01-28,66160,490,0.75,65420,66160,65310
2021-01-27,65670,-320,-0.48,65870,65880,65440
2021-01-26,65990,470,0.72,65710,66050,65640
2021-01-25,65520,-480,-0.73,65910,66070,65490
2021-01-22,66000,-100,-0.15,66050,66240,65900
2021-01-21,66100,530,0.81,66190,66250,65960
2021-01-20,65570,390,0.6,65300,65620,65070
2021-01-19,65180,-60,-0.09,65220,65280,65000
2021-01-18,65240,-110,-0.17,64600,65320,64000
2021-01-15,65350,260,0.4,65190,65510,65090
2021-01-14,65090,-380,-0.58,65050,65480,64880
2021-01-13,65470,-280,-0.43,65640,65740,65290
2021-01-12,65750,700,1.08,65140,65800,65010
2021-01-11,65050,-1780,-2.66,64860,65230,64150
2021-01-08,66830,-500,-0.74,66980,67590,66790
2021-01-07,67330,-550,-0.81,67090,67350,66930
2021-01-06,67880,-10,-0.01,68240,68300,67860
2021-01-05,67890,980,1.46,67650,67910,67510
2021-01-04,66910,1170,1.78,66730,67010,66240
2020-12-30,65740,-180,-0.27,65950,66010,65660
2020-12-29,65920,-550,-0.83,66120,66270,65810
2020-12-28,66470,-60,-0.09,66960,67130,66260
2020-12-24,66530,110,0.17,66690,66740,66430
2020-12-23,66420,-270,-0.4,66300,66610,66290
2020-12-22,66690,-810,-1.2,66670,67050,66590
2020-12-21,67500,970,1.46,66620,67640,66580
2020-12-18,66530,790,1.2,66230,66680,66160
2020-12-17,65740,400,0.61,65580,65780,65460
2020-12-16,65340,710,1.1,65130,65360,64830
2020-12-15,64630,280,0.44,64180,64670,64110
2020-12-14,64350,-20,-0.03,64410,64490,64280
2020-12-11,64370,120,0.19,64240,64610,64160
2020-12-10,64250,-690,-1.06,64030,64370,63960
2020-12-09,64940,-240,-0.37,65250,65280,64550
2020-12-08,65180,1140,1.78,64860,65250,64830
2020-12-07,64040,-40,-0.06,63840,64120,63780
2020-12-04,64080,-520,-0.8,64940,64960,64000
2020-12-03,64600,440,0.69,64760,64830,64500
2020-12-02,64160,660,1.04,64470,64510,64010
2020-12-01,63500,430,0.68,63220,63610,63180
2020-11-30,63070,-1120,-1.74,63380,63480,62640
2020-11-27,64190,-110,-0.17,64280,64410,64030
2020-11-26,64300,-100,-0.16,64470,64490,64200
2020-11-25,64400,-1010,-1.54,64690,64760,64100
2020-11-24,65410,-1540,-2.3,65580,65710,65020
2020-11-23,66950,50,0.07,67040,67150,66930
2020-11-20,66900,130,0.19,66860,67030,66680
2020-11-19,66770,60,0.09,66440,67070,66370
2020-11-18,66710,-430,-0.64,66970,67020,66650
2020-11-17,67140,-280,-0.42,67390,67430,67040
2020-11-16,67420,-10,-0.01,67820,67840,67140
2020-11-13,67430,380,0.57,67240,67490,67140
2020-11-12,67050,-130,-0.19,66560,67080,66520
2020-11-11,67180,-410,-0.61,67320,67410,67110
2020-11-10,67590,-2550,-3.64,66860,67620,66770
2020-11-09,70140,210,0.3,70560,70590,70120
2020-11-06,69930,680,0.98,70560,70660,69790
2020-11-05,69250,-150,-0.22,69700,69710,69120
2020-11-04,69400,390,0.57,69830,69870,69110
2020-11-03,69010,360,0.52,69090,69200,68910
2020-11-02,68650,370,0.54,68540,68790,68400
