날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 03월 31일,365.61,364.1,367.01,363.94,388.61M,0.30%
2022년 03월 30일,364.5,366.15,366.76,363.68,139.98K,0.20%
2022년 03월 29일,363.77,364.18,365.56,362.27,132.70M,0.47%
2022년 03월 28일,362.06,360.63,363.25,358.7,136.54M,0.00%
2022년 03월 25일,362.06,364.76,364.92,361.34,119.07M,-0.36%
2022년 03월 24일,363.38,361.83,363.5,360.4,149.35M,-0.40%
2022년 03월 23일,364.84,364.06,366.4,362.89,137.43M,0.88%
2022년 03월 22일,361.66,358.76,362.11,358.61,120.70M,0.81%
2022년 03월 21일,358.77,363.81,363.86,358.41,117.14M,-0.98%
2022년 03월 18일,362.33,361.16,362.78,359.6,155.32M,0.24%
2022년 03월 17일,361.46,362.39,364.18,361.36,172.54M,1.51%
2022년 03월 16일,356.09,354.88,356.29,351.97,125.09M,1.44%
2022년 03월 15일,351.03,352.34,353.9,350.38,149.11M,-1.01%
2022년 03월 14일,354.61,354.72,356.48,352.82,163.91M,-0.20%
2022년 03월 11일,355.31,355.95,356.85,353.26,182.55M,-0.75%
2022년 03월 10일,358.01,354.33,358.27,354.33,212.65M,2.47%
2022년 03월 08일,349.38,348.12,352.82,346.85,185.90M,-1.03%
2022년 03월 07일,353.03,356.59,356.59,351.91,193.16M,-2.39%
2022년 03월 04일,361.69,365.35,365.54,360.19,237.19M,-1.46%
2022년 03월 03일,367.06,364.37,367.4,363.99,167.18M,1.79%
2022년 03월 02일,360.59,361.52,362.81,359.89,170.94M,-0.26%
2022년 02월 28일,361.54,356.59,361.54,355.77,237.32M,0.86%
2022년 02월 25일,358.44,358.79,360.85,357.02,154.97M,0.96%
2022년 02월 24일,355.04,360.05,360.77,354.01,167.28M,-2.58%
2022년 02월 23일,364.44,366.25,366.58,362.39,139.93M,0.26%
2022년 02월 22일,363.51,362.93,364.81,360.74,162.88M,-1.30%
2022년 02월 21일,368.29,362.83,368.75,361.14,109.54M,-0.07%
2022년 02월 18일,368.55,365.57,369.32,364.69,137.05M,-0.27%
2022년 02월 17일,369.55,368.11,373.03,365.48,209.73M,0.61%
2022년 02월 16일,367.3,365.96,367.66,364.64,108.44M,1.91%
2022년 02월 15일,360.43,364.44,364.79,358.75,140.83M,-0.70%
2022년 02월 14일,362.98,364.36,365.97,360.46,146.97M,-1.53%
2022년 02월 11일,368.61,367.54,371.35,366.9,161.47M,-0.80%
2022년 02월 10일,371.57,371.84,372.86,369.3,180.49M,0.79%
