"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 31일","20.56","19.68","21.48","19.54","-","6.36%"
"2022년 03월 30일","19.33","19.38","20.51","18.72","-","2.28%"
"2022년 03월 29일","18.90","19.70","19.73","18.67","-","-3.72%"
"2022년 03월 28일","19.63","22.14","23.33","19.54","-","-5.67%"
"2022년 03월 25일","20.81","21.87","22.86","20.80","-","-3.97%"
"2022년 03월 24일","21.67","23.61","23.79","21.49","-","-8.06%"
"2022년 03월 23일","23.57","23.04","24.03","22.64","-","2.75%"
"2022년 03월 22일","22.94","24.02","24.02","22.70","-","-2.51%"
"2022년 03월 21일","23.53","25.14","25.36","22.99","-","-1.42%"
"2022년 03월 18일","23.87","26.36","26.82","23.85","-","-7.01%"
"2022년 03월 17일","25.67","26.51","27.47","25.25","-","-3.75%"
"2022년 03월 16일","26.67","29.02","29.80","26.29","-","-10.59%"
"2022년 03월 15일","29.83","33.13","33.83","29.57","-","-6.11%"
"2022년 03월 14일","31.77","31.03","33.18","30.06","-","3.32%"
"2022년 03월 11일","30.75","30.43","31.04","28.84","-","1.72%"
"2022년 03월 10일","30.23","33.03","34.03","30.23","-","-6.84%"
"2022년 03월 09일","32.45","33.74","34.12","31.39","-","-7.63%"
"2022년 03월 08일","35.13","36.19","37.52","32.78","-","-3.62%"
"2022년 03월 07일","36.45","35.88","36.55","32.59","-","13.98%"
"2022년 03월 04일","31.98","31.90","34.65","31.47","-","4.92%"
"2022년 03월 03일","30.48","30.52","32.01","29.31","-","-0.85%"
"2022년 03월 02일","30.74","34.20","34.41","30.12","-","-7.74%"
"2022년 03월 01일","33.32","29.45","35.19","29.44","-","10.51%"
"2022년 02월 28일","30.15","32.44","33.51","28.43","-","9.28%"
"2022년 02월 25일","27.59","31.68","32.00","26.93","-","-9.00%"
"2022년 02월 24일","30.32","37.50","37.79","29.45","-","-2.26%"
"2022년 02월 23일","31.02","28.04","31.07","27.20","-","7.67%"
"2022년 02월 22일","28.81","31.80","32.04","28.40","-","3.82%"
"2022년 02월 18일","27.75","26.66","29.71","26.38","-","-1.28%"
"2022년 02월 17일","28.11","24.83","28.37","24.76","-","15.73%"
"2022년 02월 16일","24.29","25.19","27.09","23.88","-","-5.49%"
"2022년 02월 15일","25.70","28.09","28.09","25.33","-","-9.28%"
"2022년 02월 14일","28.33","29.17","32.04","28.33","-","3.55%"
"2022년 02월 11일","27.36","24.39","30.99","23.33","-","14.43%"
"2022년 02월 10일","23.91","20.37","24.77","20.18","-","19.79%"
"2022년 02월 09일","19.96","21.27","21.30","19.93","-","-6.90%"
"2022년 02월 08일","21.44","23.09","23.48","21.32","-","-6.21%"
"2022년 02월 07일","22.86","24.09","24.82","22.02","-","-1.55%"
"2022년 02월 04일","23.22","23.77","26.26","22.07","-","-4.64%"
"2022년 02월 03일","24.35","22.63","25.81","22.30","-","10.23%"
"2022년 02월 02일","22.09","21.56","22.73","20.46","-","0.59%"
"2022년 02월 01일","21.96","24.57","25.33","21.96","-","-11.56%"
"2022년 01월 31일","24.83","28.36","29.41","24.71","-","-10.23%"
"2022년 01월 28일","27.66","30.27","32.82","27.28","-","-9.28%"
"2022년 01월 27일","30.49","32.19","33.00","28.42","-","-4.60%"
"2022년 01월 26일","31.96","29.35","33.04","26.90","-","2.57%"
"2022년 01월 25일","31.16","32.29","35.85","29.13","-","4.21%"
"2022년 01월 24일","29.90","28.20","38.94","28.02","-","3.64%"
"2022년 01월 21일","28.85","25.38","29.79","25.31","-","12.74%"
"2022년 01월 20일","25.59","23.46","25.89","21.68","-","7.30%"
"2022년 01월 19일","23.85","23.12","23.99","21.85","-","4.65%"
"2022년 01월 18일","22.79","21.18","23.20","21.18","-","18.76%"
"2022년 01월 14일","19.19","20.11","22.07","19.05","-","-5.51%"
"2022년 01월 13일","20.31","18.06","20.61","17.45","-","15.27%"
"2022년 01월 12일","17.62","18.17","18.69","17.36","-","-4.29%"
