,date,Close
255,21/04/01,17.33
254,21/04/02,17.33
253,21/04/05,17.91
252,21/04/06,18.12
251,21/04/07,17.16
250,21/04/08,16.95
249,21/04/09,16.69
248,21/04/12,16.91
247,21/04/13,16.65
246,21/04/14,16.99
245,21/04/15,16.57
244,21/04/16,16.25
243,21/04/19,17.29
242,21/04/20,18.68
241,21/04/21,17.5
240,21/04/22,18.71
239,21/04/23,17.33
238,21/04/26,17.64
237,21/04/27,17.56
236,21/04/28,17.28
235,21/04/29,17.61
234,21/04/30,18.61
233,21/05/03,18.31
232,21/05/04,19.48
231,21/05/05,19.15
230,21/05/06,18.39
229,21/05/07,16.69
228,21/05/10,19.66
227,21/05/11,21.84
226,21/05/12,27.59
225,21/05/13,23.13
224,21/05/14,18.81
223,21/05/17,19.72
222,21/05/18,21.34
221,21/05/19,22.18
220,21/05/20,20.67
219,21/05/21,20.15
218,21/05/24,18.4
217,21/05/25,18.84
216,21/05/26,17.36
215,21/05/27,16.74
214,21/05/28,16.76
213,21/06/01,17.9
212,21/06/02,17.48
211,21/06/03,18.04
210,21/06/04,16.42
209,21/06/07,16.42
208,21/06/08,17.07
207,21/06/09,17.89
206,21/06/10,16.1
205,21/06/11,15.65
204,21/06/14,16.39
203,21/06/15,17.02
202,21/06/16,18.15
201,21/06/17,17.75
200,21/06/18,20.7
199,21/06/21,17.89
198,21/06/22,16.66
197,21/06/23,16.32
196,21/06/24,15.97
195,21/06/25,15.62
194,21/06/28,15.76
193,21/06/29,16.02
192,21/06/30,15.83
191,21/07/01,15.48
190,21/07/02,15.07
189,21/07/06,16.44
188,21/07/07,16.2
187,21/07/08,19.0
186,21/07/09,16.18
185,21/07/12,16.17
184,21/07/13,17.12
183,21/07/14,16.33
182,21/07/15,17.01
181,21/07/16,18.45
180,21/07/19,22.5
179,21/07/20,19.73
178,21/07/21,17.91
177,21/07/22,17.69
176,21/07/23,17.2
175,21/07/26,17.58
174,21/07/27,19.36
173,21/07/28,18.31
172,21/07/29,17.7
171,21/07/30,18.24
170,21/08/02,19.46
169,21/08/03,18.04
168,21/08/04,17.97
167,21/08/05,17.28
166,21/08/06,16.15
165,21/08/09,16.72
164,21/08/10,16.79
163,21/08/11,16.06
162,21/08/12,15.59
161,21/08/13,15.45
160,21/08/16,16.12
159,21/08/17,17.91
158,21/08/18,21.57
157,21/08/19,21.67
156,21/08/20,18.56
155,21/08/23,17.15
154,21/08/24,17.22
153,21/08/25,16.79
152,21/08/26,18.84
151,21/08/27,16.39
150,21/08/30,16.19
149,21/08/31,16.48
148,21/09/01,16.11
147,21/09/02,16.41
146,21/09/03,16.41
145,21/09/07,18.14
144,21/09/08,17.96
143,21/09/09,18.8
142,21/09/10,20.95
141,21/09/13,19.37
140,21/09/14,19.46
139,21/09/15,18.18
138,21/09/16,18.69
137,21/09/17,20.81
136,21/09/20,25.71
135,21/09/21,24.36
134,21/09/22,20.87
133,21/09/23,18.63
132,21/09/24,17.75
131,21/09/27,18.76
130,21/09/28,23.25
129,21/09/29,22.56
128,21/09/30,23.14
127,21/10/01,21.15
126,21/10/04,22.96
125,21/10/05,21.3
124,21/10/06,21.0
123,21/10/07,19.54
122,21/10/08,18.77
121,21/10/11,20.0
120,21/10/12,19.85
119,21/10/13,18.64
118,21/10/14,16.86
117,21/10/15,16.3
116,21/10/18,16.31
115,21/10/19,15.7
114,21/10/20,15.49
113,21/10/21,15.01
112,21/10/22,15.43
111,21/10/25,15.24
110,21/10/26,15.98
109,21/10/27,16.98
108,21/10/28,16.53
107,21/10/29,16.26
106,21/11/01,16.41
105,21/11/02,16.03
104,21/11/03,15.1
103,21/11/04,15.44
102,21/11/05,16.48
101,21/11/08,17.22
100,21/11/09,17.78
99,21/11/10,18.73
98,21/11/11,17.66
97,21/11/12,16.29
96,21/11/15,16.49
95,21/11/16,16.37
94,21/11/17,17.11
93,21/11/18,17.59
92,21/11/19,17.91
91,21/11/22,19.17
90,21/11/23,19.38
89,21/11/24,18.58
88,21/11/25,18.58
87,21/11/26,28.62
86,21/11/29,22.96
85,21/11/30,27.19
84,21/12/01,31.12
83,21/12/02,27.95
82,21/12/03,30.67
81,21/12/06,27.18
80,21/12/07,21.89
79,21/12/08,19.9
78,21/12/09,21.58
77,21/12/10,18.69
76,21/12/13,20.31
75,21/12/14,21.89
74,21/12/15,19.29
73,21/12/16,20.57
72,21/12/17,21.57
71,21/12/20,22.87
70,21/12/21,21.01
69,21/12/22,18.63
68,21/12/23,17.96
67,21/12/24,17.96
66,21/12/27,17.68
65,21/12/28,17.54
64,21/12/29,16.95
63,21/12/30,17.33
62,21/12/31,17.22
61,22/01/03,16.6
60,22/01/04,16.91
59,22/01/05,19.73
58,22/01/06,19.61
57,22/01/07,18.76
56,22/01/10,19.4
55,22/01/11,18.41
54,22/01/12,17.62
53,22/01/13,20.31
52,22/01/14,19.19
51,22/01/18,22.79
50,22/01/19,23.85
49,22/01/20,25.59
48,22/01/21,28.85
47,22/01/24,29.9
46,22/01/25,31.16
45,22/01/26,31.96
44,22/01/27,30.49
43,22/01/28,27.66
42,22/01/31,24.83
41,22/02/01,21.96
40,22/02/02,22.09
39,22/02/03,24.35
38,22/02/04,23.22
37,22/02/07,22.86
36,22/02/08,21.44
35,22/02/09,19.96
34,22/02/10,23.91
33,22/02/11,27.36
32,22/02/14,28.33
31,22/02/15,25.7
30,22/02/16,24.29
29,22/02/17,28.11
28,22/02/18,27.75
27,22/02/22,28.81
26,22/02/23,31.02
25,22/02/24,30.32
24,22/02/25,27.59
23,22/02/28,30.15
22,22/03/01,33.32
21,22/03/02,30.74
20,22/03/03,30.48
19,22/03/04,31.98
18,22/03/07,36.45
17,22/03/08,35.13
16,22/03/09,32.45
15,22/03/10,30.23
14,22/03/11,30.75
13,22/03/14,31.77
12,22/03/15,29.83
11,22/03/16,26.67
10,22/03/17,25.67
9,22/03/18,23.87
8,22/03/21,23.53
7,22/03/22,22.94
6,22/03/23,23.57
5,22/03/24,21.67
4,22/03/25,20.81
3,22/03/28,19.63
2,22/03/29,18.9
1,22/03/30,19.33
0,22/03/31,20.56
